time,fish_state,fish_x,fish_y,fish_suck_strength,fish_to_bait_dist,bait_x,bait_y,bait_vx,bait_vy,bait_speed,float_y,float_vy,rod_tip_y,line_length,line_tension,bait_mass_ratio
0.000,IDLE,0.100000,-0.300000,0.000000,0.111803,0.000000,-0.350000,0.000000,0.000000,0.000000,0.100000,0.000000,0.700000,0.600000,0.000000,1.000000
0.017,APPROACH,0.099954,-0.300008,0.000000,0.111753,0.000000,-0.349986,0.000000,0.000040,0.000040,0.100014,0.001604,0.700000,0.599986,0.000000,0.999944
0.033,APPROACH,0.098613,-0.300679,0.000000,0.110243,-0.000009,-0.349946,-0.000002,0.000045,0.000045,0.100054,0.003081,0.700000,0.599946,0.000000,0.999889
0.050,APPROACH,0.097271,-0.301349,0.000000,0.108732,-0.000028,-0.349884,-0.000003,0.000050,0.000050,0.100116,0.004312,0.700000,0.599884,0.000000,0.999833
0.067,APPROACH,0.095929,-0.302019,0.000000,0.107213,-0.000048,-0.349802,-0.000003,0.000053,0.000053,0.100197,0.005199,0.700000,0.599803,0.000000,0.999778
0.083,APPROACH,0.094586,-0.302687,0.000000,0.105693,-0.000071,-0.349710,-0.000004,0.000056,0.000056,0.100290,0.005674,0.700000,0.599710,0.000000,0.999722
0.100,APPROACH,0.093243,-0.303355,0.000000,0.104186,-0.000111,-0.349613,-0.000007,0.000057,0.000057,0.100387,0.005703,0.700000,0.599613,0.000000,0.999667
0.117,APPROACH,0.091898,-0.304021,0.000000,0.102694,-0.000166,-0.349519,-0.000009,0.000057,0.000057,0.100481,0.005285,0.700000,0.599519,0.000000,0.999611
0.133,APPROACH,0.090554,-0.304685,0.000000,0.101216,-0.000232,-0.349436,-0.000011,0.000054,0.000055,0.100563,0.004457,0.700000,0.599437,0.000000,0.999556
0.150,APPROACH,0.089208,-0.305349,0.000000,0.099756,-0.000309,-0.349371,-0.000013,0.000051,0.000052,0.100629,0.003284,0.700000,0.599371,0.000000,0.999500
0.167,APPROACH,0.087862,-0.306011,0.000000,0.098322,-0.000404,-0.349327,-0.000016,0.000047,0.000049,0.100673,0.001859,0.700000,0.599327,0.000000,0.999444
0.183,APPROACH,0.086516,-0.306671,0.000000,0.096910,-0.000511,-0.349308,-0.000018,0.000042,0.000046,0.100691,0.000293,0.700000,0.599309,0.000000,0.999389
0.200,APPROACH,0.085169,-0.307331,0.000000,0.095523,-0.000632,-0.349317,-0.000021,0.000037,0.000042,0.100683,-0.001291,0.700000,0.599317,0.000000,0.999333
0.217,APPROACH,0.083821,-0.307991,0.000000,0.094157,-0.000765,-0.349351,-0.000023,0.000031,0.000039,0.100648,-0.002765,0.700000,0.599352,0.000000,0.999278
0.233,APPROACH,0.082474,-0.308650,0.000000,0.092806,-0.000903,-0.349408,-0.000024,0.000027,0.000036,0.100591,-0.004011,0.700000,0.599409,0.000000,0.999222
0.250,APPROACH,0.081126,-0.309308,0.000000,0.091476,-0.001055,-0.349484,-0.000026,0.000023,0.000035,0.100515,-0.004929,0.700000,0.599485,0.000000,0.999167
0.267,APPROACH,0.079779,-0.309967,0.000000,0.090160,-0.001217,-0.349572,-0.000028,0.000021,0.000035,0.100426,-0.005448,0.700000,0.599574,0.000000,0.999111
0.283,APPROACH,0.078431,-0.310626,0.000000,0.088840,-0.001372,-0.349665,-0.000026,0.000019,0.000033,0.100333,-0.005531,0.700000,0.599667,0.000000,0.999056
0.300,APPROACH,0.077084,-0.311285,0.000000,0.087522,-0.001530,-0.349756,-0.000027,0.000020,0.000033,0.100242,-0.005172,0.700000,0.599758,0.000000,0.999000
0.317,APPROACH,0.075736,-0.311944,0.000000,0.086167,-0.001652,-0.349837,-0.000021,0.000021,0.000030,0.100160,-0.004404,0.700000,0.599840,0.000000,0.998944
0.333,APPROACH,0.074389,-0.312604,0.000000,0.084815,-0.001784,-0.349902,-0.000023,0.000024,0.000033,0.100095,-0.003287,0.700000,0.599905,0.000000,0.998889
